genotype,concentration,length
Col-0,0.01,NA
phyB-9,0.01,NA
Ber-0,0,NA
Br-0,0,12.72
Rsch-0,0,11.89
Se-0,0,NA
Col-0,0,10.81
phyB-9,0,11.52
Ber-0,37,NA
Br-0,37,NA
Rsch-0,37,4.31
Se-0,37,7.3
Col-0,37,4.5
phyB-9,37,10.88
Ber-0,17,NA
Br-0,17,10.33
Rsch-0,17,4.49
Se-0,17,NA
Col-0,17,4.99
phyB-9,17,12.44
Ber-0,3.3,NA
Br-0,3.3,6.91
Rsch-0,3.3,4.77
Se-0,3.3,NA
Col-0,3.3,NA
phyB-9,3.3,NA
Ber-0,1.4,NA
Br-0,1.4,NA
Rsch-0,1.4,5.02
Se-0,1.4,NA
Col-0,1.4,NA
phyB-9,1.4,10.86
Ber-0,0.2,NA
Br-0,0.2,7.31
Rsch-0,0.2,6.25
Se-0,0.2,NA
Col-0,0.2,NA
phyB-9,0.2,NA
Ber-0,0.1,NA
Br-0,0.1,8.36
Rsch-0,0.1,7.73
Se-0,0.1,NA
Col-0,0.1,NA
phyB-9,0.1,10.2
Ber-0,0.01,NA
Br-0,0.01,11.08
Rsch-0,0.01,9.02
Se-0,0.01,8.16
Col-0,0.01,NA
phyB-9,0.01,NA
Ber-0,0,NA
Br-0,0,12.46
Rsch-0,0,11.6
Se-0,0,NA
Col-0,0,NA
phyB-9,0,14.17
Ber-0,37,NA
Br-0,37,NA
Rsch-0,37,4.82
Se-0,37,9.9
Col-0,37,NA
phyB-9,37,12.39
Ber-0,17,NA
Br-0,17,8.62
Rsch-0,17,4.56
Se-0,17,NA
Col-0,17,5.39
phyB-9,17,NA
Ber-0,3.3,NA
Br-0,3.3,8.66
Rsch-0,3.3,3.73
Se-0,3.3,NA
Col-0,3.3,NA
phyB-9,3.3,NA
Ber-0,1.4,NA
Br-0,1.4,NA
Rsch-0,1.4,4.45
Se-0,1.4,NA
Col-0,1.4,NA
phyB-9,1.4,10.04
Ber-0,0.2,NA
Br-0,0.2,9.86
Rsch-0,0.2,6.51
Se-0,0.2,NA
Col-0,0.2,NA
phyB-9,0.2,NA
Ber-0,0.1,NA
Br-0,0.1,9.54
Rsch-0,0.1,8.05
Se-0,0.1,NA
Col-0,0.1,NA
phyB-9,0.1,9.39
Ber-0,0.01,NA
Br-0,0.01,9.89
Rsch-0,0.01,6.38
Se-0,0.01,7.73
Col-0,0.01,NA
phyB-9,0.01,NA
Ber-0,0,NA
Br-0,0,10.58
Rsch-0,0,6.69
Se-0,0,NA
Col-0,0,NA
phyB-9,0,11.74
Ber-0,37,NA
Br-0,37,NA
Rsch-0,37,4.27
Se-0,37,NA
Col-0,37,NA
phyB-9,37,NA
Ber-0,17,NA
Br-0,17,8.48
Rsch-0,17,4.37
Se-0,17,NA
Col-0,17,5.73
phyB-9,17,NA
Ber-0,3.3,NA
Br-0,3.3,NA
Rsch-0,3.3,NA
Se-0,3.3,NA
Col-0,3.3,NA
phyB-9,3.3,NA
Ber-0,1.4,NA
Br-0,1.4,NA
Rsch-0,1.4,4.14
Se-0,1.4,NA
Col-0,1.4,NA
phyB-9,1.4,NA
Ber-0,0.2,NA
Br-0,0.2,10.35
Rsch-0,0.2,6.1
Se-0,0.2,NA
Col-0,0.2,NA
phyB-9,0.2,NA
Ber-0,0.1,NA
Br-0,0.1,8.43
Rsch-0,0.1,7.48
Se-0,0.1,NA
Col-0,0.1,NA
phyB-9,0.1,10.37
Ber-0,0.01,NA
Br-0,0.01,9.73
Rsch-0,0.01,8.86
Se-0,0.01,9.43
Col-0,0.01,NA
phyB-9,0.01,NA
Ber-0,0,NA
Br-0,0,10.14
Rsch-0,0,10.66
Se-0,0,NA
Col-0,0,NA
phyB-9,0,13.44
Ber-0,37,NA
Br-0,37,NA
Rsch-0,37,2.65
Se-0,37,NA
Col-0,37,NA
phyB-9,37,NA
Ber-0,17,NA
Br-0,17,9.69
Rsch-0,17,2.32
Se-0,17,NA
Col-0,17,7.05
phyB-9,17,NA
Ber-0,3.3,NA
Br-0,3.3,NA
Rsch-0,3.3,NA
Se-0,3.3,NA
Col-0,3.3,NA
phyB-9,3.3,NA
Ber-0,1.4,NA
Br-0,1.4,NA
Rsch-0,1.4,3.34
Se-0,1.4,NA
Col-0,1.4,NA
phyB-9,1.4,NA
Ber-0,0.2,NA
Br-0,0.2,8.52
Rsch-0,0.2,5.91
Se-0,0.2,NA
Col-0,0.2,NA
phyB-9,0.2,NA
Ber-0,0.1,NA
Br-0,0.1,9.44
Rsch-0,0.1,7.47
Se-0,0.1,NA
Col-0,0.1,NA
phyB-9,0.1,10.74
Ber-0,0.01,NA
Br-0,0.01,8.87
Rsch-0,0.01,7.95
Se-0,0.01,NA
Col-0,0.01,NA
phyB-9,0.01,NA
Ber-0,0,NA
Br-0,0,11.62
Rsch-0,0,10
Se-0,0,NA
Col-0,0,NA
phyB-9,0,NA
Ber-0,37,NA
Br-0,37,NA
Rsch-0,37,3.93
Se-0,37,NA
Col-0,37,NA
phyB-9,37,NA
Ber-0,17,NA
Br-0,17,NA
Rsch-0,17,3.63
Se-0,17,NA
Col-0,17,NA
phyB-9,17,NA
Ber-0,3.3,NA
Br-0,3.3,NA
Rsch-0,3.3,NA
Se-0,3.3,NA
Col-0,3.3,NA
phyB-9,3.3,NA
Ber-0,1.4,NA
Br-0,1.4,NA
Rsch-0,1.4,4.93
Se-0,1.4,NA
Col-0,1.4,NA
phyB-9,1.4,NA
Ber-0,0.2,NA
Br-0,0.2,9.6
Rsch-0,0.2,6.14
Se-0,0.2,NA
Col-0,0.2,NA
phyB-9,0.2,NA
Ber-0,0.1,NA
Br-0,0.1,8.98
Rsch-0,0.1,NA
Se-0,0.1,NA
Col-0,0.1,NA
phyB-9,0.1,10.6
