genotype,concentration,length
Se-0,0.09,NA
Ge-0,0.09,9.07
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,6.16
Te-0,37,NA
Mt-0,37,3.05
Col-0,37,NA
hy4,37,8.04
Se-0,21,NA
Ge-0,21,5.43
Te-0,21,2.28
Mt-0,21,NA
Col-0,21,NA
hy4,21,6.87
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,2.78
Col-0,3.9,NA
hy4,3.9,5.32
Se-0,0.74,NA
Ge-0,0.74,7.95
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,9.76
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,5.57
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,4.73
Se-0,21,NA
Ge-0,21,5.03
Te-0,21,2.65
Mt-0,21,NA
Col-0,21,NA
hy4,21,7.94
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,4.76
Se-0,0.74,NA
Ge-0,0.74,8.47
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
